epoch,train_total_loss,train_safety_loss,train_oracle_auxiliary_loss,validation_total_loss,validation_safety_loss,validation_oracle_auxiliary_loss,skipped_optimizer_steps,encoder_learning_rate,head_learning_rate
1,0.5725545954620272,0.298712269949011,1.0953693049664137,0.5838301586526606,0.30581128244393224,1.1120755128275481,2,9.848139414859441e-05,0.00019696278829718883
2,0.5312336858850558,0.27823987071521206,1.0119752591379672,0.5692267784378497,0.297130329398898,1.0883858038083294,2,8.948490283370592e-05,0.00017896980566741184
3,0.5127481724741905,0.2691322994851217,0.9744634905448654,0.564343625740726,0.29493014505943455,1.0776539207695215,3,7.385362940050762e-05,0.00014770725880101525
4,0.4958434972441161,0.2606814549991568,0.9406481704177772,0.5832187449625997,0.3084691139243639,1.0989985167767624,3,5.4191708780878515e-05,0.00010838341756175703
5,0.47449726673898784,0.24986353732181232,0.8985349131337966,0.5716526483673172,0.2998036851896539,1.0873958588326709,4,3.3842168280836334e-05,6.768433656167267e-05
