dataset,prompts,routed,gains,losses,truncated,net_answers,routed_fraction,quality_retention,quality_retention_lcb,quality_loss_rate_ucl,routed_safety_precision_lcb,resource_savings,conservative_resource_savings
bbh_formal_fallacies,250,0,0,0,0,0,0.0,1.0,1.0,0.010706308287166164,1.0,-0.0016847285093575248,-0.008423642546785404
bbh_geometric_shapes,250,0,0,0,0,0,0.0,1.0,1.0,0.010706308287166164,1.0,-0.0014227612152635238,-0.007113806076317397
bbh_sports_understanding,250,0,0,0,0,0,0.0,1.0,1.0,0.010706308287166164,1.0,-0.004089366444334663,-0.020446832221674427
bbh_web_of_lies,250,0,0,0,0,0,0.0,1.0,1.0,0.010706308287166164,1.0,-0.002948549946054424,-0.014742749730271676
math_algebra_hard,300,300,13,0,9,13,1.0,43333333333.333336,23965411109.50404,0.00893787217512817,0.991062127824872,0.7927173569867568,0.7877890944689159
math_counting_and_prob_hard,123,123,0,0,4,0,1.0,0.0,0.0,0.021522865100085338,0.9784771348999147,0.7927489437084951,0.7878523381108852
musr_team_allocation,250,178,36,37,0,-1,0.712,0.9910714285714286,0.8653442712913575,0.1887040391607134,0.7379172279387124,0.42096953058161246,0.41553310795341614
