setup,router_active,selected_threshold,diagnostic_threshold,validation_total_loss,best_epoch,epochs_completed,dataset_balanced_sampling,training_minutes,calibrated_brier,calibrated_ece,safe_roc_auc,unsafe_average_precision,quality_retention_lcb,macro_quality_retention_lcb,quality_loss_rate_ucl,routed_safety_precision_lcb,guarded_dataset_retention_lcb,safe_opportunity_recall,routed_fraction,nominal_resource_savings,conservative_resource_savings,feasible_block_size,gate_pass_count,failure_reasons,max_input_tokens,input_truncation_strategy,truncation_rate,selected_for_test
prefix_512,True,0.9,0.9,0.2413365412264432,3,5,False,145.0683330589833,0.12801722708853075,0.017046550455715966,0.5615738002873045,0.17990031205962895,0.9946160364667973,0.9965561801732402,0.0035803065653185863,0.9644582692901863,0.9597496734524451,0.1077726975832789,0.09910979228486647,0.11176311770700909,0.1049025829448661,12,7,,512,prefix,0.6426088971269694,False
prefix_1024,True,0.9,0.9,0.24034847696021597,3,5,False,151.62036614078335,0.12796913816803157,0.01674003585156063,0.5690090359453666,0.18131999714355954,0.9934912870652283,1.0,0.005277073867051521,0.951944229895961,0.9469939018766486,0.116263879817113,0.10801186943620178,0.12229880893445089,0.1154382741723079,12,7,,1024,prefix,0.11735403151065801,True
head_tail_1024,True,0.915,0.915,0.23860522269551818,3,5,False,150.0808232841,0.12786352384698718,0.015926942114306473,0.5712025799604689,0.18076157838131396,0.9939503726776816,0.9931123603464805,0.0035803065653185863,0.9597210467000126,0.9579781760113255,0.09470934030045722,0.08724035608308606,0.09822800260422693,0.09136746784208394,10,7,,1024,head_tail,0.11735403151065801,False
