,objective,selected_model,quality,fallback_quality,quality_retention,quality_retention_lcb,quality_loss_rate,quality_loss_rate_ucl,routed_safety_precision,routed_safety_precision_lcb,safe_opportunity_recall,routed_fraction,macro_dataset_quality_retention,macro_dataset_quality_retention_lcb,macro_dataset_count,guarded_dataset_quality_retention,guarded_dataset_quality_retention_lcb,guarded_dataset_count,mean_resource,fallback_resource,resource_savings,conservative_resource_savings,fallback_usage,oracle_savings_capture
best_single,latency,Qwen2.5-7B,0.42677824267782427,0.42677824267782427,1.0,1.0,0.0,0.0016145697343213016,1.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,5.0,2.385998578933387,2.385998578933387,0.0,0.0,1.0,0.0
cheapest_single,latency,Qwen2.5-1.5B,0.34787806335923493,0.42677824267782427,0.8151260504201682,0.7613002917469578,0.20561864913329347,0.22234045925935553,0.7943813508667065,0.7776595407406445,0.8848202396804261,1.0,0.7894402638442767,0.6172590548550687,5.0,0.3798449612403101,0.24656810852208352,5.0,0.494807859600186,2.385998578933387,0.7926202203266274,0.7926202203266274,0.0,1.1289370808606738
dataset_lookup,latency,dynamic,0.42677824267782427,0.42677824267782427,1.0,1.0,0.0,0.0016145697343213016,1.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,5.0,2.385998578933387,2.385998578933387,0.0,0.0,1.0,0.0
outcome_oracle,latency,dynamic,0.5534967124925284,0.42677824267782427,1.2969187675070029,1.265563973862411,0.0,0.0016145697343213016,1.0,0.998201944914827,1.0,0.8977884040645547,1.2796184734255187,1.1484597071115432,5.0,1.0,1.0,5.0,0.7108027231188152,2.385998578933387,0.7020942386996034,0.7020942386996034,0.1022115959354453,1.0
modernbert_qwen_tier_router,latency,dynamic,0.4339509862522415,0.42677824267782427,1.0168067226890756,0.9954472432372866,0.02211595935445308,0.028846846701213805,0.9384359400998337,0.9202606294000297,0.3754993342210386,0.35923490735206215,0.9982142857142857,0.9952770470947295,5.0,0.9910714285714286,0.8132531107252527,5.0,1.5513059014411898,2.385998578933387,0.34982949481274617,0.34312370708040274,0.6407650926479378,0.49826572492702575
