threshold,quality,fallback_quality,quality_retention,quality_retention_lcb,quality_loss_rate,quality_loss_rate_ucl,routed_safety_precision,routed_safety_precision_lcb,safe_opportunity_recall,routed_fraction,macro_dataset_quality_retention,macro_dataset_quality_retention_lcb,macro_dataset_count,guarded_dataset_quality_retention,guarded_dataset_quality_retention_lcb,guarded_dataset_count,mean_resource,fallback_resource,resource_savings,conservative_resource_savings,fallback_usage,passes_quality_gate,passes_nominal_savings_gate,passes_conservative_savings_gate,passes_macro_gate,passes_harm_gate,passes_precision_gate,passes_guarded_dataset_gate,gate_pass_count,passes_base_gates,feasible_block_size,passes_stability_gate,is_feasible,setup
0.5,0.3626112759643917,0.42433234421364985,0.8545454545454545,0.8035246065798289,0.17863501483679525,0.1944954849435215,0.8213649851632048,0.8055045150564785,0.9039843239712606,1.0,0.9426055069955502,0.723210912067586,6.0,0.5662100456621004,0.4029281609746722,6.0,0.4879167883943291,2.33217971407847,0.7907893695117219,0.7839288347495789,0.0,False,True,True,False,False,False,False,2,False,0,False,False,prefix_512
0.6,0.3626112759643917,0.42433234421364985,0.8545454545454545,0.8035246065798289,0.17863501483679525,0.1944954849435215,0.8213649851632048,0.8055045150564785,0.9039843239712606,1.0,0.9426055069955502,0.723210912067586,6.0,0.5662100456621004,0.4029281609746722,6.0,0.4879167883943291,2.33217971407847,0.7907893695117219,0.7839288347495789,0.0,False,True,True,False,False,False,False,2,False,0,False,False,prefix_512
0.7,0.3626112759643917,0.42433234421364985,0.8545454545454545,0.8035246065798289,0.17863501483679525,0.1944954849435215,0.8213649851632048,0.8055045150564785,0.9039843239712606,1.0,0.9426055069955502,0.723210912067586,6.0,0.5662100456621004,0.4029281609746722,6.0,0.4879167883943291,2.33217971407847,0.7907893695117219,0.7839288347495789,0.0,False,True,True,False,False,False,False,2,False,0,False,False,prefix_512
0.75,0.3744807121661721,0.42433234421364985,0.8825174825174825,0.8315884953213305,0.171513353115727,0.1871419591313758,0.828486646884273,0.8128580408686241,0.9118223383409536,1.0,0.9690605334505767,0.7705644784580037,6.0,0.5662100456621004,0.46295934996358695,6.0,0.5255057653148698,2.33217971407847,0.7746718393344243,0.7678113045722814,0.0,False,True,True,False,False,False,False,2,False,0,False,False,prefix_512
0.8,0.3839762611275964,0.42433234421364985,0.9048951048951048,0.8545179302852444,0.1632047477744807,0.17855086903679832,0.8367952522255193,0.8214491309632016,0.9209666884389288,1.0,0.9894793426017802,0.7956450588510512,6.0,0.5662100456621004,0.46295934996358695,6.0,0.5998496525552259,2.33217971407847,0.7427944129115931,0.7359338781494501,0.0,False,True,True,False,False,False,False,2,False,0,False,False,prefix_512
0.85,0.4118694362017804,0.42433234421364985,0.9706293706293706,0.9320725743684688,0.08961424332344213,0.1017271944159784,0.8725738396624473,0.8557876422740729,0.6753755715218811,0.7032640949554896,1.0206668569254185,0.8773017527744323,6.0,0.821917808219178,0.4847958201912978,6.0,1.1937697936036926,2.33217971407847,0.4881313020616017,0.4812707672994587,0.29673590504451036,False,True,True,False,False,False,False,2,False,0,False,False,prefix_512
0.855,0.4118694362017804,0.42433234421364985,0.9706293706293706,0.9327655045058405,0.08664688427299704,0.0985925374288177,0.8763759525825572,0.859755908182023,0.6760287393860223,0.7008902077151336,1.0201258085996956,0.8770515386904485,6.0,0.8264840182648403,0.4847958201912978,6.0,1.220933882162875,2.33217971407847,0.4764837911964641,0.4696232564343211,0.29910979228486645,False,True,True,False,False,False,False,2,False,0,False,False,prefix_512
0.86,0.4136498516320475,0.42433234421364985,0.9748251748251748,0.9371667919933441,0.08486646884272997,0.09670986701420127,0.8781942078364565,0.8616177906933848,0.6734160679294579,0.6967359050445104,1.0229499619482496,0.8812581004975519,6.0,0.8356164383561644,0.4847958201912978,6.0,1.2308440232772833,2.33217971407847,0.47223448697064285,0.4653739522085,0.3032640949554896,False,True,True,False,False,False,False,2,False,0,False,False,prefix_512
0.865,0.41602373887240357,0.42433234421364985,0.9804195804195804,0.9431800375563008,0.08189910979228486,0.09356882646699881,0.8805194805194805,0.8639250082417407,0.6642717178314826,0.685459940652819,1.026535150304414,0.886703771782279,6.0,0.8493150684931507,0.4847958201912978,6.0,1.2387065183646553,2.33217971407847,0.468863179416637,0.4620026446544939,0.314540059347181,False,True,True,False,False,False,False,2,False,0,False,False,prefix_512
0.87,0.41602373887240357,0.42433234421364985,0.9804195804195804,0.9437532442432077,0.07952522255192879,0.09105294738425912,0.8798206278026905,0.8628764641870097,0.6407576747224036,0.6617210682492581,1.026535150304414,0.886703771782279,6.0,0.8493150684931507,0.4847958201912978,6.0,1.2515678780745136,2.33217971407847,0.4633484415805177,0.4564879068183747,0.33827893175074186,False,True,True,False,False,False,False,2,False,0,False,False,prefix_512
