setup,max_input_tokens,input_truncation_strategy,best_epoch,best_train_loss,best_validation_loss,generalization_gap,truncation_rate,safe_roc_auc,unsafe_average_precision,validation_routed_fraction,validation_conservative_savings,selected_for_test
prefix_512,512,prefix,3,0.20945324595987536,0.2413365412264432,0.03188329526656786,0.6426088971269694,0.5615738002873045,0.17990031205962895,0.09910979228486647,0.1049025829448661,False
prefix_1024,1024,prefix,3,0.20919985619824713,0.24034847696021597,0.031148620761968837,0.11735403151065801,0.5690090359453666,0.18131999714355954,0.10801186943620178,0.1154382741723079,True
head_tail_1024,1024,head_tail,3,0.2094294492352959,0.23860522269551818,0.029175773460222265,0.11735403151065801,0.5712025799604689,0.18076157838131396,0.08724035608308606,0.09136746784208394,False
