strategy,dataset,prompts,quality,fallback_quality,quality_retention,quality_retention_lcb,quality_loss_rate,quality_loss_rate_ucl,routed_safety_precision,routed_fraction,macro_dataset_quality_retention,macro_dataset_quality_retention_lcb,macro_dataset_count,mean_resource,fallback_resource,resource_savings,fallback_usage
best_single,aime,11,0.9090909090909091,0.9090909090909091,1.0,1.0,0.0,0.1974050473195177,1.0,0.0,1.0,1.0,1.0,1.2896692929292926,1.2896692929292926,0.0,1.0
best_single,arcc,259,0.9420849420849421,0.9420849420849421,1.0,1.0,0.0,0.01033812053954439,1.0,0.0,1.0,1.0,1.0,0.9002306306306305,0.9002306306306305,0.0,1.0
best_single,bbh,203,0.8423645320197044,0.8423645320197044,1.0,1.0,0.0,0.01315250628964781,1.0,0.0,1.0,1.0,1.0,2.2468586754241926,2.2468586754241926,0.0,1.0
best_single,emorynlp,152,0.29605263157894735,0.29605263157894735,1.0,1.0,0.0,0.017488342005651566,1.0,0.0,1.0,1.0,1.0,1.8437114912280699,1.8437114912280699,0.0,1.0
best_single,finqa,223,0.7219730941704036,0.7219730941704036,1.0,1.0,0.0,0.011987049199993046,1.0,0.0,1.0,1.0,1.0,4.338614040857,4.338614040857,0.0,1.0
best_single,gpqa,39,0.7692307692307693,0.7692307692307693,1.0,1.0,0.0,0.0648725140597522,1.0,0.0,1.0,1.0,1.0,1.3295137321937318,1.3295137321937318,0.0,1.0
best_single,humaneval,31,0.5806451612903226,0.5806451612903226,1.0,1.0,0.0,0.08026998460298293,1.0,0.0,1.0,1.0,1.0,1.755689534050179,1.755689534050179,0.0,1.0
best_single,kandk,138,0.7681159420289855,0.7681159420289855,1.0,1.0,0.0,0.019228406981549255,1.0,0.0,1.0,1.0,1.0,1.336871030595813,1.336871030595813,0.0,1.0
best_single,korbench,246,0.5691056910569106,0.5691056910569106,1.0,1.0,0.0,0.010878500802676253,1.0,0.0,1.0,1.0,1.0,3.57023,3.57023,0.0,1.0
best_single,livecodebench,222,0.6846846846846847,0.6846846846846847,1.0,1.0,0.0,0.012040394787359219,1.0,0.0,1.0,1.0,1.0,2.652568578578579,2.652568578578579,0.0,1.0
best_single,livemathbench,18,0.7222222222222222,0.7222222222222222,1.0,1.0,0.0,0.13066758958023256,1.0,0.0,1.0,1.0,1.0,0.9202901234567898,0.9202901234567898,0.0,1.0
best_single,math500,105,0.9428571428571428,0.9428571428571428,1.0,1.0,0.0,0.02511981618892741,1.0,0.0,1.0,1.0,1.0,0.9685098835978835,0.9685098835978835,0.0,1.0
best_single,mathbench,29,0.9655172413793104,0.9655172413793104,1.0,1.0,0.0,0.0853334514834167,1.0,0.0,1.0,1.0,1.0,1.0548605363984673,1.0548605363984673,0.0,1.0
best_single,mbpp,201,0.5572139303482587,0.5572139303482587,1.0,1.0,0.0,0.013281638821503641,1.0,0.0,1.0,1.0,1.0,0.9951307241569927,0.9951307241569927,0.0,1.0
best_single,medqa,266,0.8007518796992481,0.8007518796992481,1.0,1.0,0.0,0.01006880401243979,1.0,0.0,1.0,1.0,1.0,1.5109434001670843,1.5109434001670843,0.0,1.0
best_single,meld,242,0.5413223140495868,0.5413223140495868,1.0,1.0,0.0,0.011056322696681968,1.0,0.0,1.0,1.0,1.0,1.4118651056014688,1.4118651056014688,0.0,1.0
best_single,mmlupro,188,0.675531914893617,0.675531914893617,1.0,1.0,0.0,0.014187020498156941,1.0,0.0,1.0,1.0,1.0,1.4535339479905434,1.4535339479905434,0.0,1.0
best_single,winogrande,239,0.8619246861924686,0.8619246861924686,1.0,1.0,0.0,0.011193551523195603,1.0,0.0,1.0,1.0,1.0,0.9395147373314736,0.9395147373314736,0.0,1.0
cheapest_single,aime,11,0.18181818181818182,0.9090909090909091,0.2,-0.054819628165276635,0.7272727272727273,0.885305871149461,0.2727272727272727,1.0,0.2,0.2,1.0,1.1733656565656565,1.2896692929292926,0.09018097662810098,0.0
cheapest_single,arcc,259,0.9073359073359073,0.9420849420849421,0.9631147540983606,0.9339169454325958,0.05405405405405406,0.0821135043291121,0.9459459459459459,1.0,0.9631147540983606,0.9631147540983606,1.0,0.8409180180180181,0.9002306306306305,0.06588601919828319,0.0
cheapest_single,bbh,203,0.6305418719211823,0.8423645320197044,0.7485380116959065,0.6690847767091729,0.2955665024630542,0.35065448391962123,0.7044334975369458,1.0,0.7485380116959065,0.7485380116959065,1.0,1.988547509578544,2.2468586754241926,0.1149654709800032,0.0
cheapest_single,emorynlp,152,0.2894736842105263,0.29605263157894735,0.9777777777777779,0.7671276445923639,0.1118421052631579,0.1608589769262429,0.8881578947368421,1.0,0.9777777777777779,0.9777777777777779,1.0,1.6463285087719297,1.8437114912280699,0.10705741293865134,0.0
cheapest_single,finqa,223,0.672645739910314,0.7219730941704036,0.9316770186335405,0.8733413496130489,0.09865470852017937,0.13646651900129705,0.9013452914798207,1.0,0.9316770186335405,0.9316770186335405,1.0,3.750243946188341,4.338614040857,0.13561245345355488,0.0
cheapest_single,gpqa,39,0.4358974358974359,0.7692307692307693,0.5666666666666667,0.36897986357978513,0.38461538461538464,0.516239591905747,0.6153846153846154,1.0,0.5666666666666667,0.5666666666666667,1.0,1.2073792022792023,1.3295137321937318,0.09186406048849483,0.0
cheapest_single,humaneval,31,0.8387096774193549,0.5806451612903226,1.4444444444444444,1.2181348137937296,0.0,0.08026998460298293,1.0,1.0,1.4444444444444444,1.4444444444444444,1.0,1.5711878136200716,1.755689534050179,0.10508789672196917,0.0
cheapest_single,kandk,138,0.15942028985507245,0.7681159420289855,0.20754716981132074,0.10092534439821754,0.6594202898550725,0.7221409976184934,0.34057971014492755,1.0,0.20754716981132074,0.20754716981132074,1.0,1.2136598228663447,1.336871030595813,0.09216386989443237,0.0
cheapest_single,korbench,246,0.2804878048780488,0.5691056910569106,0.49285714285714294,0.39830073636144614,0.3170731707317073,0.36763850801514936,0.6829268292682927,1.0,0.49285714285714294,0.49285714285714294,1.0,3.1059328364950325,3.57023,0.13004684950408452,0.0
cheapest_single,livecodebench,222,0.05855855855855856,0.6846846846846847,0.08552631578947369,0.004386179899105178,0.6351351351351351,0.6863556692818746,0.36486486486486486,1.0,0.08552631578947369,0.08552631578947369,1.0,2.3347702202202205,2.652568578578579,0.11980778213419674,0.0
cheapest_single,livemathbench,18,0.3888888888888889,0.7222222222222222,0.5384615384615384,0.21954920038996237,0.3888888888888889,0.5802252342753211,0.6111111111111112,1.0,0.5384615384615384,0.5384615384615384,1.0,0.858041975308642,0.9202901234567898,0.06763970030921507,0.0
cheapest_single,math500,105,0.7619047619047619,0.9428571428571428,0.8080808080808081,0.7381198334706031,0.19047619047619047,0.2609714146045706,0.8095238095238095,1.0,0.8080808080808081,0.8080808080808081,1.0,0.8992051851851853,0.9685098835978835,0.07155807037842565,0.0
cheapest_single,mathbench,29,0.7931034482758621,0.9655172413793104,0.8214285714285714,0.6733131730749418,0.20689655172413793,0.35285424253739767,0.7931034482758621,1.0,0.8214285714285714,0.8214285714285714,1.0,0.9729191570881227,1.0548605363984673,0.07767982257646211,0.0
cheapest_single,mbpp,201,0.6865671641791045,0.5572139303482587,1.232142857142857,1.1101678564816055,0.11442786069651742,0.15659086949183493,0.8855721393034826,1.0,1.232142857142857,1.232142857142857,1.0,0.9219302929795467,0.9951307241569927,0.07355860833204242,0.0
cheapest_single,medqa,266,0.6578947368421053,0.8007518796992481,0.8215962441314555,0.7613819717212803,0.19548872180451127,0.238466571042724,0.8045112781954887,1.0,0.8215962441314555,0.8215962441314555,1.0,1.362258187134503,1.5109434001670843,0.09840554782934907,0.0
cheapest_single,meld,242,0.5165289256198347,0.5413223140495868,0.9541984732824427,0.850556895400487,0.15289256198347106,0.19476585076324165,0.8471074380165289,1.0,0.9541984732824427,0.9541984732824427,1.0,1.2776791551882458,1.4118651056014688,0.09504162251822101,0.0
cheapest_single,mmlupro,188,0.5319148936170213,0.675531914893617,0.7874015748031497,0.7082791967389007,0.18085106382978725,0.231446417901685,0.8191489361702128,1.0,0.7874015748031497,0.7874015748031497,1.0,1.3132501182033096,1.4535339479905434,0.09651224863455776,0.0
cheapest_single,winogrande,239,0.7907949790794979,0.8619246861924686,0.9174757281553397,0.8645262208815389,0.1297071129707113,0.16963948654421074,0.8702928870292888,1.0,0.9174757281553397,0.9174757281553397,1.0,0.874453231055323,0.9395147373314736,0.06925011784375656,0.0
dataset_lookup,aime,11,0.9090909090909091,0.9090909090909091,1.0,1.0,0.0,0.1974050473195177,1.0,0.0,1.0,1.0,1.0,1.2896692929292926,1.2896692929292926,0.0,1.0
dataset_lookup,arcc,259,0.9420849420849421,0.9420849420849421,1.0,1.0,0.0,0.01033812053954439,1.0,0.0,1.0,1.0,1.0,0.9002306306306305,0.9002306306306305,0.0,1.0
dataset_lookup,bbh,203,0.8423645320197044,0.8423645320197044,1.0,1.0,0.0,0.01315250628964781,1.0,0.0,1.0,1.0,1.0,2.2468586754241926,2.2468586754241926,0.0,1.0
dataset_lookup,emorynlp,152,0.29605263157894735,0.29605263157894735,1.0,1.0,0.0,0.017488342005651566,1.0,0.0,1.0,1.0,1.0,1.8437114912280699,1.8437114912280699,0.0,1.0
dataset_lookup,finqa,223,0.7219730941704036,0.7219730941704036,1.0,1.0,0.0,0.011987049199993046,1.0,0.0,1.0,1.0,1.0,4.338614040857,4.338614040857,0.0,1.0
dataset_lookup,gpqa,39,0.7692307692307693,0.7692307692307693,1.0,1.0,0.0,0.0648725140597522,1.0,0.0,1.0,1.0,1.0,1.3295137321937318,1.3295137321937318,0.0,1.0
