threshold,quality,fallback_quality,quality_retention,quality_retention_lcb,quality_loss_rate,quality_loss_rate_ucl,routed_safety_precision,routed_fraction,macro_dataset_quality_retention,macro_dataset_quality_retention_lcb,macro_dataset_count,mean_resource,fallback_resource,resource_savings,fallback_usage
0.5,0.6077032810271041,0.7047075606276747,0.8623481781376519,0.842029262566492,0.1594151212553495,0.17111356215094609,0.8174019607843137,0.8730385164051355,0.8577114741952871,0.7811094355047176,18.0,1.769227536852116,1.9527850990648277,0.0939978302275124,0.12696148359486448
0.6,0.6301711840228246,0.7047075606276747,0.8942307692307694,0.8750019245181947,0.13516405135520684,0.1461367156733768,0.8356461405030355,0.8223965763195435,0.9082192451785761,0.8487045824221643,18.0,1.7835778982406085,1.9527850990648277,0.08664916631392316,0.17760342368045648
0.7,0.6501426533523538,0.7047075606276747,0.9225708502024292,0.9045856971667288,0.11198288159771755,0.1221547908263259,0.8511848341232228,0.7524964336661911,0.9476502606428218,0.9000091515683626,18.0,1.8002061325091139,1.9527850990648277,0.07813402848515316,0.24750356633380885
0.75,0.6611982881597718,0.7047075606276747,0.938259109311741,0.9211825712177099,0.09771754636233952,0.10733253553779158,0.857736240913811,0.6868758915834522,0.9661134498799717,0.9221690766354055,18.0,1.8160730084006973,1.9527850990648277,0.07000877399648364,0.3131241084165478
0.8,0.6758202567760342,0.7047075606276747,0.9590080971659919,0.9432847482080357,0.07845934379457917,0.08722407341422292,0.8664238008500303,0.5873751783166904,0.9848067415261554,0.9445138162151754,18.0,1.8331054041844983,1.9527850990648277,0.06128666945361416,0.41262482168330955
0.85,0.6865192582025678,0.7047075606276747,0.9741902834008098,0.9610243804216548,0.05385164051355207,0.061303114875706506,0.8719253604749788,0.42047075606276746,0.9891381504359258,0.9563331847738605,18.0,1.8661618964970677,1.9527850990648277,0.04435879944456922,0.5795292439372325
0.855,0.68830242510699,0.7047075606276747,0.9767206477732794,0.963842911180953,0.05099857346647646,0.05827541457938125,0.87151841868823,0.39693295292439373,0.9918961717409042,0.9592202466217155,18.0,1.8701385726739579,1.9527850990648277,0.042322386846585736,0.6030670470756063
0.86,0.6900855920114123,0.7047075606276747,0.9792510121457491,0.9671172482788727,0.04529243937232525,0.052201818163187017,0.8758553274682307,0.36483594864479313,0.9896577026923027,0.9600390872474803,18.0,1.8771450776668253,1.9527850990648277,0.038734431881022546,0.6351640513552068
0.865,0.6936519258202568,0.7047075606276747,0.9843117408906884,0.9728762568734999,0.039229671897289584,0.045717798547362826,0.8828541001064962,0.33487874465049927,0.9939944138926552,0.9652576575835266,18.0,1.883124605325725,1.9527850990648277,0.0356723808331304,0.6651212553495007
0.87,0.6940085592011412,0.7047075606276747,0.9848178137651823,0.9739090283810584,0.03601997146932953,0.042269905879012894,0.8818713450292398,0.3049215406562054,0.9933154119759641,0.9649737449196331,18.0,1.8886954755111742,1.9527850990648277,0.03281959883058583,0.6950784593437945
0.875,0.6979315263908702,0.7047075606276747,0.9903846153846154,0.98029473132788,0.029600570613409417,0.03533555652832205,0.8923476005188068,0.27496433666191156,0.999345308848518,0.9733861816100394,18.0,1.8946784316056426,1.9527850990648277,0.029755792118145385,0.7250356633380884
0.88,0.702567760342368,0.7047075606276747,0.9969635627530364,0.9876929993050014,0.023181169757489302,0.02833536487289459,0.9042709867452136,0.2421540656205421,1.0037341920869212,0.9764108273083175,18.0,1.901423258044064,1.9527850990648277,0.026301839892858947,0.7578459343794579
0.885,0.7057774607703281,0.7047075606276747,1.001518218623482,0.9928261203689233,0.018901569186875893,0.023618676576130374,0.912106135986733,0.21504992867332381,1.0087013966704417,0.980936469208191,18.0,1.9069919392930734,1.9527850990648277,0.023450178820846324,0.7849500713266762
0.89,0.7047075606276747,0.7047075606276747,1.0,0.9917580341607976,0.01747503566333809,0.022034941473638527,0.9080675422138836,0.19008559201141226,1.0066355896286567,0.9819620862866915,18.0,1.912841631795847,1.9527850990648277,0.02045461494360501,0.8099144079885877
0.895,0.7061340941512125,0.7047075606276747,1.0020242914979758,0.9943939730400145,0.014265335235378032,0.018444929097560677,0.9154334038054969,0.16868758915834522,1.0072788098356726,0.985013971204156,18.0,1.9187229822475826,1.9527850990648277,0.017442839375186314,0.8313124108416547
0.9,0.7061340941512125,0.7047075606276747,1.0020242914979758,0.9949600292946958,0.012125534950071327,0.016026267744845772,0.919047619047619,0.14978601997146934,1.006367659323458,0.9860062495709104,18.0,1.924553044856554,1.9527850990648277,0.014457327752958493,0.8502139800285307
0.905,0.7075606276747504,0.7047075606276747,1.0040485829959516,0.9977092100942498,0.00891583452211127,0.012345896837712323,0.9307479224376731,0.12874465049928674,1.0078146524704497,0.9877921089686689,18.0,1.9300951157077189,1.9527850990648277,0.011619293576121015,0.8712553495007133
0.91,0.7082738944365192,0.7047075606276747,1.0050607287449393,0.9990590814915274,0.007489300998573466,0.010682642920271388,0.9297658862876255,0.10663338088445079,1.0085040372103806,0.9886158916246743,18.0,1.9362653819939766,1.9527850990648277,0.008459567352681163,0.8933666191155493
