split,model,is_fallback,mean_quality,mean_resource,relative_resource_vs_fallback,safe_rate,candidate_better_rate,candidate_equal_rate,candidate_worse_rate,both_zero_rate,faster_than_fallback_rate,oracle_selection_rate
train,Fin-R1,False,0.5368545994065282,1.7054977197494228,0.8894013366900925,0.762373887240356,0.06468842729970327,0.6976854599406528,0.2376261127596439,0.22551928783382788,1.0,0.762373887240356
train,Qwen3-8B,True,0.7097922848664688,1.917579442927794,1.0,1.0,0.0,1.0,0.0,0.29020771513353116,0.0,0.2376261127596439
validation,Fin-R1,False,0.5506937033084311,1.7227267955255146,0.8889539205760854,0.7723230167200285,0.06261117040199217,0.7097118463180363,0.22767698327997155,0.2216293134115973,1.0,0.7723230167200285
validation,Qwen3-8B,True,0.7157595161864105,1.9379258650539546,1.0,1.0,0.0,1.0,0.0,0.28424048381358946,0.0,0.22767698327997155
test,Fin-R1,False,0.5390374331550802,1.7000243058031292,0.8894657188904402,0.770409982174688,0.06345811051693405,0.706951871657754,0.22959001782531194,0.23137254901960785,1.0,0.770409982174688
test,Qwen3-8B,True,0.7051693404634581,1.9112870453555157,1.0,1.0,0.0,1.0,0.0,0.2948306595365419,0.0,0.22959001782531194
