strategy,dataset,prompts,quality,fallback_quality,quality_retention,quality_retention_lcb,quality_loss_rate,quality_loss_rate_ucl,routed_safety_precision,routed_safety_precision_lcb,safe_opportunity_recall,routed_fraction,macro_dataset_quality_retention,macro_dataset_quality_retention_lcb,macro_dataset_count,guarded_dataset_quality_retention,guarded_dataset_quality_retention_lcb,guarded_dataset_count,mean_resource,fallback_resource,resource_savings,conservative_resource_savings,fallback_usage
best_single,aime,10,0.8,0.8,1.0,1.0,0.0,0.21294197008340685,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.1845659999999998,1.1845659999999998,0.0,0.0,1.0
best_single,arcc,239,0.9163179916317992,0.9163179916317992,1.0,1.0,0.0,0.011193551523195603,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8932718456531846,0.8932718456531846,0.0,0.0,1.0
best_single,bbh,193,0.8341968911917098,0.8341968911917098,1.0,1.0,0.0,0.013824562178178778,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.39646127806563,2.39646127806563,0.0,0.0,1.0
best_single,emorynlp,128,0.40625,0.40625,1.0,1.0,0.0,0.020699531042045007,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8552344618055552,1.8552344618055552,0.0,0.0,1.0
best_single,finqa,218,0.7247706422018348,0.7247706422018348,1.0,1.0,0.0,0.012258611232654142,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.369631314984709,4.369631314984709,0.0,0.0,1.0
best_single,gpqa,41,0.5853658536585366,0.5853658536585366,1.0,1.0,0.0,0.061903896857776954,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.4186866666666664,1.4186866666666664,0.0,0.0,1.0
best_single,humaneval,30,0.5666666666666667,0.5666666666666667,1.0,1.0,0.0,0.08272430812509922,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.872087407407407,1.872087407407407,0.0,0.0,1.0
best_single,kandk,143,0.7972027972027972,0.7972027972027972,1.0,1.0,0.0,0.01856856911520181,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3379976845376842,1.3379976845376842,0.0,0.0,1.0
best_single,korbench,259,0.5521235521235521,0.5521235521235521,1.0,1.0,0.0,0.01033812053954439,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.633015538395538,3.633015538395538,0.0,0.0,1.0
best_single,livecodebench,202,0.6435643564356436,0.6435643564356436,1.0,1.0,0.0,0.013216757145133786,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.870701419141914,2.870701419141914,0.0,0.0,1.0
best_single,livemathbench,25,0.84,0.84,1.0,1.0,0.0,0.09765350600605091,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0268362666666666,1.0268362666666666,0.0,0.0,1.0
best_single,math500,99,0.9292929292929293,0.9292929292929293,1.0,1.0,0.0,0.026601730468276318,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0046608529741863,1.0046608529741863,0.0,0.0,1.0
best_single,mathbench,22,0.9545454545454546,0.9545454545454546,1.0,1.0,0.0,0.10951159439671891,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9969044444444445,0.9969044444444445,0.0,0.0,1.0
best_single,mbpp,184,0.5434782608695652,0.5434782608695652,1.0,1.0,0.0,0.014490964778239766,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9594300483091788,0.9594300483091788,0.0,0.0,1.0
best_single,medqa,251,0.7888446215139442,0.7888446215139442,1.0,1.0,0.0,0.010664108545917294,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5274589641434257,1.5274589641434257,0.0,0.0,1.0
best_single,meld,247,0.5182186234817814,0.5182186234817814,1.0,1.0,0.0,0.010834935487096159,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3949792172739537,1.3949792172739537,0.0,0.0,1.0
best_single,mmlupro,242,0.6859504132231405,0.6859504132231405,1.0,1.0,0.0,0.011056322696681968,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4445834067952248,1.4445834067952248,0.0,0.0,1.0
best_single,winogrande,272,0.8308823529411765,0.8308823529411765,1.0,1.0,0.0,0.009848885537861451,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9397797875816993,0.9397797875816993,0.0,0.0,1.0
cheapest_single,aime,10,0.1,0.8,0.125,-0.1890694271928238,0.7,0.873123416096802,0.3,0.12687658390319792,1.0,1.0,0.125,0.125,1.0,1.0,1.0,0.0,1.0836433333333333,1.1845659999999998,0.08519801063568133,0.08519801063568133,0.0
cheapest_single,arcc,239,0.8828451882845189,0.9163179916317992,0.9634703196347032,0.9376902748141281,0.04184100418410042,0.06876516362358007,0.9581589958158996,0.9312348363764199,1.0,1.0,0.9634703196347032,0.9634703196347032,1.0,0.9634703196347032,0.9376902748141281,1.0,0.8349775918177592,0.8932718456531846,0.06525925351738704,0.06525925351738704,0.0
cheapest_single,bbh,193,0.6787564766839378,0.8341968911917098,0.8136645962732919,0.7334432521800289,0.24870466321243523,0.3031217921033968,0.7512953367875648,0.6968782078966033,1.0,1.0,0.8136645962732919,0.8136645962732919,1.0,0.8136645962732919,0.7334432521800289,1.0,2.1148029360967184,2.39646127806563,0.11753093803220549,0.11753093803220549,0.0
cheapest_single,emorynlp,128,0.359375,0.40625,0.8846153846153846,0.711497352454453,0.140625,0.19862937017629081,0.859375,0.8013706298237092,1.0,1.0,0.8846153846153846,0.8846153846153846,1.0,0.8846153846153846,0.711497352454453,1.0,1.6561651909722221,1.8552344618055552,0.10730140849129899,0.10730140849129899,0.0
cheapest_single,finqa,218,0.6422018348623854,0.7247706422018348,0.8860759493670887,0.832347510471755,0.10550458715596331,0.14469565472088863,0.8944954128440367,0.8553043452791113,1.0,1.0,0.8860759493670887,0.8860759493670887,1.0,0.8860759493670887,0.832347510471755,1.0,3.776699388379205,4.369631314984709,0.135693811185436,0.135693811185436,0.0
