setup,router_active,selected_threshold,diagnostic_threshold,validation_total_loss,best_epoch,epochs_completed,dataset_balanced_sampling,training_minutes,calibrated_brier,calibrated_ece,safe_roc_auc,unsafe_average_precision,quality_retention_lcb,macro_quality_retention_lcb,quality_loss_rate_ucl,routed_safety_precision_lcb,guarded_dataset_retention_lcb,safe_opportunity_recall,routed_fraction,nominal_resource_savings,conservative_resource_savings,feasible_block_size,gate_pass_count,failure_reasons,selected_for_test
hybrid_r4,True,0.895,0.895,0.5264662711359945,3,5,False,33.12872367846667,0.1443269557166529,0.023563219612707475,0.752085732381391,0.5095814947675189,0.9921439940350932,0.9851303224928322,0.018799065936773364,0.916693161656274,0.9146945608922278,0.27084292952556427,0.22376378512984704,0.026379447029381775,0.01812319724783784,2,7,,True
safety_only_r4,False,,0.91,0.27995149681509623,3,5,False,32.598422359833336,0.1445207148691659,0.01755427208946761,0.7523779364348226,0.5165643234521449,0.9904795411088291,0.989419502712929,0.013137635418605907,0.9197041190588762,0.9291419967370417,0.1971441731920774,0.16186410530060477,0.019644124655937567,0.011387874874393744,1,7,"Validation thresholds passed individually, but no contiguous block of 2 thresholds passed.",False
hybrid_r4_dataset_balanced,False,,0.925,0.5850006002775082,1,3,True,21.265287595649987,0.1487242812503085,0.02045954652037835,0.7295190868263473,0.4956507421384487,0.9920200228080845,0.9944672374144423,0.008547962688307117,0.8836888276531747,0.9418208713329369,0.0856748042376785,0.07186054784774101,0.003407766363051845,-0.004848483418492089,0,5,"No validation threshold met every configured aggregate, subgroup, harm, routed-precision, and conservative-overhead gate.",False
