,objective,selected_model,quality,fallback_quality,quality_retention,quality_retention_lcb,quality_loss_rate,quality_loss_rate_ucl,routed_safety_precision,routed_safety_precision_lcb,safe_opportunity_recall,routed_fraction,macro_dataset_quality_retention,macro_dataset_quality_retention_lcb,macro_dataset_count,guarded_dataset_quality_retention,guarded_dataset_quality_retention_lcb,guarded_dataset_count,mean_resource,fallback_resource,resource_savings,conservative_resource_savings,fallback_usage,oracle_savings_capture
best_single,latency,Qwen3-8B,0.7051693404634581,0.7051693404634581,1.0,1.0,0.0,0.0009636136739492266,1.0,1.0,0.0,0.0,1.0,1.0,18.0,1.0,1.0,12.0,1.9112870453555157,1.9112870453555157,0.0,0.0,1.0,0.0
cheapest_single,latency,Fin-R1,0.5390374331550802,0.7051693404634581,0.7644084934277048,0.7417132513677444,0.22959001782531194,0.2429085509807246,0.770409982174688,0.7570914490192754,1.0,1.0,0.7180898964437884,0.5773045187081816,18.0,0.07692307692307693,-0.06795762720690424,12.0,1.7000243058031292,1.9112870453555157,0.11053428110955976,0.11053428110955976,0.0,1.3201434481224177
dataset_lookup,latency,dynamic,0.718716577540107,0.7051693404634581,1.019211324570273,1.012480783272845,0.004991087344028521,0.007707058116712014,0.9345794392523364,0.9009975480729568,0.09254974548819991,0.07629233511586453,1.0373856209150327,0.99514435056952,18.0,1.0,1.0,12.0,1.9046492652010298,1.9112870453555157,0.00347293734377363,0.00347293734377363,0.9237076648841355,0.04147831273791047
outcome_oracle,latency,dynamic,0.7686274509803922,0.7051693404634581,1.089989888776542,1.0792511815443595,0.0,0.0009636136739492266,1.0,0.9987495787205054,1.0,0.770409982174688,1.110639622664615,1.056177570223104,18.0,1.0076923076923077,0.9873980209732557,12.0,1.751256906318083,1.9112870453555157,0.08372899268391465,0.08372899268391465,0.22959001782531194,1.0
modernbert_hybrid_router,latency,dynamic,0.7019607843137254,0.7051693404634581,0.9954499494438825,0.9873445544398997,0.018538324420677363,0.023215088555501424,0.9165329052969502,0.8964553213442049,0.2642295233688107,0.22210338680926917,1.0164371354257018,0.9737865026675476,18.0,0.9430379746835443,0.8835631328235035,12.0,1.863150727668845,1.9112870453555157,0.025185289568954827,0.016813967198052615,0.7778966131907309,0.30079532503193757
