threshold,quality,fallback_quality,quality_retention,quality_retention_lcb,quality_loss_rate,quality_loss_rate_ucl,routed_safety_precision,routed_safety_precision_lcb,safe_opportunity_recall,routed_fraction,macro_dataset_quality_retention,macro_dataset_quality_retention_lcb,macro_dataset_count,guarded_dataset_quality_retention,guarded_dataset_quality_retention_lcb,guarded_dataset_count,mean_resource,fallback_resource,resource_savings,conservative_resource_savings,fallback_usage,passes_quality_gate,passes_nominal_savings_gate,passes_conservative_savings_gate,passes_macro_gate,passes_harm_gate,passes_precision_gate,passes_guarded_dataset_gate,gate_pass_count,passes_base_gates,feasible_block_size,passes_stability_gate,is_feasible
0.5,0.6204197794379225,0.7157595161864105,0.8667992047713718,0.8469979984043926,0.15652792600498044,0.16813031704098183,0.8253275109170306,0.812536859817022,0.957623215108245,0.896122376378513,0.8045148499233411,0.6992319602661399,18.0,0.5985915492957746,0.4774528566514195,13.0,1.7487964267362344,1.9379258650539546,0.0975937427371375,0.08933749295559335,0.10387762362148702,False,True,True,False,False,False,False,2,False,0,False,False
0.6,0.6492351476342938,0.7157595161864105,0.9070576540755466,0.8885458444811655,0.12664532194948416,0.13732340065655876,0.846551724137931,0.833840500949994,0.9046522339935513,0.8253290643898968,0.8402810471733924,0.7386563480320203,18.0,0.738095238095238,0.5083015447170596,13.0,1.7704307798727221,1.9379258650539546,0.08643007877732678,0.07817382899578285,0.17467093561010316,False,True,True,False,False,False,False,2,False,0,False,False
0.7,0.6631092138029171,0.7157595161864105,0.9264413518886679,0.9089767827770333,0.10885805763073639,0.11889958331932256,0.8570093457943925,0.8441111884199849,0.8447719944725933,0.7612949128424048,0.8759612975429141,0.7923188082276753,18.0,0.761904761904762,0.5083015447170596,13.0,1.7898277868690462,1.9379258650539546,0.07642092035382642,0.06816467057228259,0.23870508715759517,False,True,True,False,False,False,False,2,False,0,False,False
0.75,0.6752045535396656,0.7157595161864105,0.9433399602385686,0.9267556884559681,0.09427250088936322,0.10373209111228508,0.8677644710578842,0.854820469745673,0.8010133578995855,0.7129135538954109,0.9317059479558595,0.8725434652577481,18.0,0.7796610169491527,0.5083015447170596,13.0,1.800521019012609,1.9379258650539546,0.07090304563199579,0.06264679585045174,0.2870864461045891,False,True,True,False,False,False,False,2,False,0,False,False
0.8,0.6833866951262896,0.7157595161864105,0.9547713717693836,0.9391701183796474,0.08146567057986481,0.09036013949799875,0.8727070594774875,0.8592194477083497,0.7231690465223399,0.639985770188545,0.9593524520037479,0.9080050592110712,18.0,0.7796610169491527,0.5083015447170596,13.0,1.813368262777185,1.9379258650539546,0.0642736672867007,0.056017417505156986,0.360014229811455,False,True,True,False,False,False,False,2,False,0,False,False
0.85,0.7043756670224119,0.7157595161864105,0.9840954274353877,0.9709201805727254,0.05193881181074351,0.059264132662949026,0.8928833455612619,0.8783180849575942,0.5605711653615846,0.4848808253290644,0.9960942788802859,0.9532347675006911,18.0,0.8135593220338984,0.5645877255965738,13.0,1.8380782924226253,1.9379258650539546,0.051522906232818855,0.04326665645127492,0.5151191746709356,False,True,True,False,False,False,False,2,False,0,False,False
0.855,0.7065101387406617,0.7157595161864105,0.9870775347912525,0.974311461516244,0.048025613660619,0.05510480046137264,0.8948598130841121,0.8799397436258076,0.5292491939198526,0.4567769477054429,0.999720182161954,0.9564816928840881,18.0,0.7966101694915254,0.5524667354681946,13.0,1.8427634175263843,1.9379258650539546,0.04910530853816786,0.040849058756624035,0.5432230522945571,False,True,True,False,False,False,False,2,False,0,False,False
0.86,0.7068658840270367,0.7157595161864105,0.9875745526838966,0.97542517297416,0.04375667022411953,0.05055352179476668,0.897071129707113,0.8817041131285349,0.493781667434362,0.42511561721807184,0.9994970190720989,0.9571366314627876,18.0,0.7796610169491527,0.5405024218830257,13.0,1.8471305869797223,1.9379258650539546,0.04685178092284992,0.03859553114130587,0.5748843827819281,False,True,True,False,False,False,False,2,False,0,False,False
0.865,0.7047314123087869,0.7157595161864105,0.9845924453280318,0.9728949994961047,0.04197794379224475,0.04865244428282093,0.8933092224231465,0.8770687895503911,0.4550898203592814,0.3934542867307008,0.9966698684038364,0.9552449221928935,18.0,0.7796610169491527,0.5492547427290598,13.0,1.8523450610696073,1.9379258650539546,0.044161030887507446,0.035904781105963623,0.6065457132692992,False,True,True,False,False,False,False,2,False,0,False,False
0.87,0.7043756670224119,0.7157595161864105,0.9840954274353877,0.9730150355499704,0.0384204909284952,0.04484104523162907,0.8939096267190569,0.8769763248426271,0.41916167664670656,0.36214870152970474,0.9977124013805277,0.9586252790311193,18.0,0.8305084745762712,0.6313084304060307,13.0,1.858269311039962,1.9379258650539546,0.04110402541728542,0.032847775635741594,0.6378512984702953,False,True,True,False,False,False,False,2,False,0,False,False
