model,quality,mean_analytical_latency_s,latency_vs_7b
Qwen2.5-1.5B,0.34812326227988877,0.5068369172072907,0.20725789096157626
Qwen2.5-3B,0.38461538461538464,1.0018675806302133,0.4096879188049959
Qwen2.5-7B,0.44045412418906393,2.4454408700957675,1.0
