,objective,selected_model,quality,fallback_quality,quality_retention,quality_retention_lcb,quality_loss_rate,quality_loss_rate_ucl,routed_safety_precision,routed_safety_precision_lcb,safe_opportunity_recall,routed_fraction,macro_dataset_quality_retention,macro_dataset_quality_retention_lcb,macro_dataset_count,guarded_dataset_quality_retention,guarded_dataset_quality_retention_lcb,guarded_dataset_count,mean_resource,fallback_resource,resource_savings,conservative_resource_savings,fallback_usage,oracle_savings_capture
best_single,latency,Qwen2.5-7B,0.42677824267782427,0.42677824267782427,1.0,1.0,0.0,0.0016145697343213016,1.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,5.0,2.385998578933387,2.385998578933387,0.0,0.0,1.0,0.0
cheapest_single,latency,Qwen2.5-1.5B,0.34787806335923493,0.42677824267782427,0.8151260504201682,0.7613002917469578,0.20561864913329347,0.22234045925935553,0.7943813508667065,0.7776595407406445,0.8848202396804261,1.0,0.7894402638442767,0.6172590548550687,5.0,0.3798449612403101,0.24656810852208352,5.0,0.494807859600186,2.385998578933387,0.7926202203266274,0.7926202203266274,0.0,1.1289370808606738
dataset_lookup,latency,dynamic,0.42677824267782427,0.42677824267782427,1.0,1.0,0.0,0.0016145697343213016,1.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,5.0,2.385998578933387,2.385998578933387,0.0,0.0,1.0,0.0
outcome_oracle,latency,dynamic,0.5534967124925284,0.42677824267782427,1.2969187675070029,1.265563973862411,0.0,0.0016145697343213016,1.0,0.998201944914827,1.0,0.8977884040645547,1.2796184734255187,1.1484597071115432,5.0,1.0,1.0,5.0,0.7108027231188152,2.385998578933387,0.7020942386996034,0.7020942386996034,0.1022115959354453,1.0
qwen15_last_token_router,latency,dynamic,0.43454871488344293,0.42677824267782427,1.0182072829131652,1.0099309752138368,0.0,0.0016145697343213016,1.0,0.9936445660722596,0.281624500665779,0.25283921099820683,1.0,1.0,5.0,1.0,1.0,5.0,1.7370441597927873,2.385998578933387,0.2719844114201869,0.2652786236878436,0.7471607890017932,0.3873901770280124
