,objective,selected_model,quality,fallback_quality,quality_retention,quality_retention_lcb,quality_loss_rate,quality_loss_rate_ucl,routed_safety_precision,routed_safety_precision_lcb,safe_opportunity_recall,routed_fraction,macro_dataset_quality_retention,macro_dataset_quality_retention_lcb,macro_dataset_count,guarded_dataset_quality_retention,guarded_dataset_quality_retention_lcb,guarded_dataset_count,mean_resource,fallback_resource,resource_savings,conservative_resource_savings,fallback_usage,oracle_savings_capture
best_single,latency,Qwen3-8B,0.713371266002845,0.713371266002845,1.0,1.0,0.0,0.000961217225861315,1.0,1.0,0.0,0.0,1.0,1.0,18.0,1.0,1.0,13.0,1.884561734629366,1.884561734629366,0.0,0.0,1.0,0.0
cheapest_single,latency,Fin-R1,0.548719772403983,0.713371266002845,0.7691924227318047,0.7463943745525017,0.2332859174964438,0.24665687867572983,0.7667140825035562,0.7533431213242702,1.0,1.0,0.7499408387367109,0.6132724151042903,18.0,0.08552631578947369,-0.045951398790063436,13.0,1.6776005413308046,1.884561734629366,0.10981926964534494,0.10981926964534494,0.0,1.3375205953356382
dataset_lookup,latency,dynamic,0.7254623044096729,0.713371266002845,1.0169491525423728,1.0096327123395978,0.008179231863442389,0.011484151233475785,0.9008620689655172,0.8638242072776753,0.09693877551020408,0.08250355618776671,1.0375881834215166,0.9928878608039476,18.0,1.0,1.0,13.0,1.8772954330646434,1.884561734629366,0.0038556983468368555,0.0038556983468368555,0.9174964438122333,0.04695966349940542
outcome_oracle,latency,dynamic,0.7820056899004267,0.713371266002845,1.0962113659022932,1.0852159335991105,0.0,0.000961217225861315,1.0,0.998746682491135,1.0,0.7667140825035562,1.1205432697502098,1.0644769950822572,18.0,1.0101010101010102,0.9831789383229801,13.0,1.7298267765133555,1.884561734629366,0.08210660084661114,0.08210660084661114,0.2332859174964438,1.0
modernbert_hybrid_router,latency,dynamic,0.7176386913229018,0.713371266002845,1.0059820538384845,1.000670356911421,0.005334281650071123,0.008117604876787263,0.9565217391304348,0.934633191255655,0.15306122448979592,0.12268847795163584,1.007542271937334,0.9925320082073373,18.0,0.9754098360655739,0.9447243589794374,13.0,1.8616276134028762,1.884561734629366,0.012169471981240298,0.003679434374089907,0.8773115220483642,0.14821551319576493
