split,model,is_fallback,mean_quality,mean_resource,relative_resource_vs_fallback,safe_rate,candidate_better_rate,candidate_equal_rate,candidate_worse_rate,both_zero_rate,faster_than_fallback_rate,oracle_selection_rate
train,Fin-R1,False,0.5414836795252226,1.7088689732937685,0.8893058549419479,0.7684272997032641,0.06231454005934718,0.706112759643917,0.2315727002967359,0.22694362017804154,1.0,0.7684272997032641
train,Qwen3-8B,True,0.7107418397626113,1.921576208902077,1.0,1.0,0.0,1.0,0.0,0.2892581602373887,0.0,0.2315727002967359
validation,Fin-R1,False,0.5271041369472182,1.7351418212077983,0.888547245694748,0.7578459343794579,0.0645506419400856,0.6932952924393724,0.2421540656205421,0.23074179743223966,1.0,0.7578459343794579
validation,Qwen3-8B,True,0.7047075606276747,1.9527850990648277,1.0,1.0,0.0,1.0,0.0,0.29529243937232524,0.0,0.2421540656205421
test,Fin-R1,False,0.548719772403983,1.6776005413308046,0.8901807303546551,0.7667140825035562,0.06863442389758179,0.6980796586059744,0.2332859174964438,0.21799431009957326,1.0,0.7667140825035562
test,Qwen3-8B,True,0.713371266002845,1.884561734629366,1.0,1.0,0.0,1.0,0.0,0.28662873399715505,0.0,0.2332859174964438
