epoch,train_total_loss,train_safety_loss,train_oracle_auxiliary_loss,validation_total_loss,validation_safety_loss,validation_oracle_auxiliary_loss,skipped_optimizer_steps,epoch_seconds,train_examples_per_second,encoder_learning_rate,head_learning_rate
1,0.30780058994668175,0.30780058994668175,1.2668960677622334,0.28610065196150775,0.28610065196150775,1.2219737293626098,2,313.7955740980001,29.244786797556444,9.848139414859441e-05,0.00019696278829718883
2,0.2891640549712436,0.2891640549712436,1.2854077102380974,0.28056083193922843,0.28056083193922843,1.2449633847433068,2,315.2805086369999,29.075952866869063,8.948490283370592e-05,0.00017896980566741184
3,0.2815573544919668,0.2815573544919668,1.2996874645272773,0.27995149681509623,0.27995149681509623,1.263315991357059,3,316.23757615299974,28.978661199441994,7.385362940050762e-05,0.00014770725880101525
4,0.27007228547104745,0.27007228547104745,1.320583949952168,0.30430383070089434,0.30430383070089434,1.2968814282262933,3,316.112686552,29.016023420144812,5.4191708780878515e-05,0.00010838341756175703
5,0.25847549586382745,0.25847549586382745,1.3358985710002549,0.3075652032645306,0.3075652032645306,1.3145149648931687,4,318.0158932909999,28.84496406058524,3.3842168280836334e-05,6.768433656167267e-05
