epoch,train_total_loss,train_safety_loss,train_oracle_auxiliary_loss,validation_total_loss,validation_safety_loss,validation_oracle_auxiliary_loss,skipped_optimizer_steps,epoch_seconds,train_examples_per_second,encoder_learning_rate,head_learning_rate
1,0.2267047606414247,0.2267047606414247,2.3276766586538784,0.25580188570563467,0.25580188570563467,2.132860304976783,1,1483.4062602,3.854734386401591,9.398812493826408e-05,0.00018797624987652815
2,0.21224248987842587,0.21224248987842587,2.442151060238181,0.2598461093799037,0.2598461093799037,2.1780803905396504,2,1496.9794700700002,3.812899059593802,7.013430642830298e-05,0.00014026861285660596
3,0.20919985619824713,0.20919985619824713,2.4964806573337617,0.24034847696021597,0.24034847696021597,2.213722422427169,2,1495.6870096189996,3.8140108783212243,3.777690163773796e-05,7.555380327547592e-05
4,0.2056509622510072,0.2056509622510072,2.4670608628641535,0.25508656081776704,0.25508656081776704,2.220784279429948,3,1493.839816951,3.818151966436308,1.0590030928141159e-05,2.1180061856282317e-05
5,0.2057970855116652,0.2057970855116652,2.476851672985177,0.2554008047440841,0.2554008047440841,2.220438771714796,3,1597.3686344730004,3.8303562514291896,5.6577015072889484e-11,1.1315403014577897e-10
