strategy,dataset,prompts,quality,fallback_quality,quality_retention,quality_retention_lcb,quality_loss_rate,quality_loss_rate_ucl,routed_safety_precision,routed_safety_precision_lcb,safe_opportunity_recall,routed_fraction,macro_dataset_quality_retention,macro_dataset_quality_retention_lcb,macro_dataset_count,guarded_dataset_quality_retention,guarded_dataset_quality_retention_lcb,guarded_dataset_count,mean_resource,fallback_resource,resource_savings,conservative_resource_savings,fallback_usage
best_single,aime,10,0.9,0.9,1.0,1.0,0.0,0.21294197008340685,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.1587086666666664,1.1587086666666664,0.0,0.0,1.0
best_single,arcc,240,0.9208333333333333,0.9208333333333333,1.0,1.0,0.0,0.011147431639142304,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8937689444444443,0.8937689444444443,0.0,0.0,1.0
best_single,bbh,220,0.8318181818181818,0.8318181818181818,1.0,1.0,0.0,0.012148523167107798,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.234013181818181,2.234013181818181,0.0,0.0,1.0
best_single,emorynlp,135,0.3925925925925926,0.3925925925925926,1.0,1.0,0.0,0.019647309659667492,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8312460082304525,1.8312460082304525,0.0,0.0,1.0
best_single,finqa,227,0.775330396475771,0.775330396475771,1.0,1.0,0.0,0.011778311543604907,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.448774116495349,4.448774116495349,0.0,0.0,1.0
best_single,gpqa,40,0.5,0.5,1.0,1.0,0.0,0.06335344864545805,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.5057007777777776,1.5057007777777776,0.0,0.0,1.0
best_single,humaneval,29,0.5862068965517241,0.5862068965517241,1.0,1.0,0.0,0.0853334514834167,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.8854294252873562,1.8854294252873562,0.0,0.0,1.0
best_single,kandk,133,0.7443609022556391,0.7443609022556391,1.0,1.0,0.0,0.019936867612269683,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3191637593984957,1.3191637593984957,0.0,0.0,1.0
best_single,korbench,240,0.5333333333333333,0.5333333333333333,1.0,1.0,0.0,0.011147431639142304,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.6740237407407403,3.6740237407407403,0.0,0.0,1.0
best_single,livecodebench,211,0.6729857819905213,0.6729857819905213,1.0,1.0,0.0,0.012660146341391324,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.6957561769352294,2.6957561769352294,0.0,0.0,1.0
best_single,livemathbench,20,0.75,0.75,1.0,1.0,0.0,0.11915783736096439,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.963603333333333,0.963603333333333,0.0,0.0,1.0
best_single,math500,96,0.9375,0.9375,1.0,1.0,0.0,0.027410248294247697,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9711532175925924,0.9711532175925924,0.0,0.0,1.0
best_single,mathbench,31,0.967741935483871,0.967741935483871,1.0,1.0,0.0,0.08026998460298293,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0616109677419354,1.0616109677419354,0.0,0.0,1.0
best_single,mbpp,207,0.5507246376811594,0.5507246376811594,1.0,1.0,0.0,0.01290163058892935,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9636885024154588,0.9636885024154588,0.0,0.0,1.0
best_single,medqa,247,0.8137651821862348,0.8137651821862348,1.0,1.0,0.0,0.010834935487096159,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5266133783175886,1.5266133783175886,0.0,0.0,1.0
best_single,meld,242,0.5495867768595041,0.5495867768595041,1.0,1.0,0.0,0.011056322696681968,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.406474113865932,1.406474113865932,0.0,0.0,1.0
best_single,mmlupro,233,0.630901287553648,0.630901287553648,1.0,1.0,0.0,0.01147848885710372,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4465295660467332,1.4465295660467332,0.0,0.0,1.0
best_single,winogrande,243,0.8271604938271605,0.8271604938271605,1.0,1.0,0.0,0.01101132443355264,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.937476753543667,0.937476753543667,0.0,0.0,1.0
cheapest_single,aime,10,0.1,0.9,0.11111111111111112,-0.13257090769651436,0.8,0.9314420122624679,0.2,0.06855798773753208,1.0,1.0,0.11111111111111112,0.11111111111111112,1.0,1.0,1.0,0.0,1.06157,1.1587086666666664,0.0838335549401833,0.0838335549401833,0.0
cheapest_single,arcc,240,0.8625,0.9208333333333333,0.9366515837104074,0.9095712339000803,0.058333333333333334,0.08848721953605578,0.9416666666666667,0.9115127804639441,1.0,1.0,0.9366515837104074,0.9366515837104074,1.0,0.9366515837104074,0.9095712339000803,1.0,0.8354019444444444,0.8937689444444443,0.06530435003677615,0.06530435003677615,0.0
cheapest_single,bbh,220,0.6181818181818182,0.8318181818181818,0.7431693989071039,0.6651724515732265,0.3,0.3529974149800281,0.7,0.6470025850199717,1.0,1.0,0.7431693989071039,0.7431693989071039,1.0,0.7431693989071039,0.6651724515732265,1.0,1.975949242424242,2.234013181818181,0.11551585348476334,0.11551585348476334,0.0
cheapest_single,emorynlp,135,0.34074074074074073,0.3925925925925926,0.8679245283018867,0.695503888200306,0.14074074074074075,0.1970518934887845,0.8592592592592593,0.8029481065112155,1.0,1.0,0.8679245283018867,0.8679245283018867,1.0,0.8679245283018867,0.695503888200306,1.0,1.6356872427983538,1.8312460082304525,0.10679000230071145,0.10679000230071145,0.0
cheapest_single,finqa,227,0.6784140969162996,0.775330396475771,0.875,0.8189047718878671,0.13215859030837004,0.17350002262010086,0.8678414096916299,0.826499977379899,1.0,1.0,0.875,0.875,1.0,0.875,0.8189047718878671,1.0,3.8407096916299555,4.448774116495349,0.1366813438809552,0.1366813438809552,0.0
cheapest_single,gpqa,40,0.425,0.5,0.85,0.576596800433827,0.175,0.29341929853043053,0.825,0.7065807014695695,1.0,1.0,0.85,0.85,1.0,1.0,1.0,0.0,1.3561494444444446,1.5057007777777776,0.099323408435806,0.099323408435806,0.0
cheapest_single,humaneval,29,0.6551724137931034,0.5862068965517241,1.1176470588235294,0.8792374361249443,0.06896551724137931,0.18840363232282964,0.9310344827586207,0.8115963676771701,1.0,1.0,1.1176470588235294,1.1176470588235294,1.0,1.0,1.0,0.0,1.681941379310345,1.8854294252873562,0.10792663106230971,0.10792663106230971,0.0
cheapest_single,kandk,133,0.21804511278195488,0.7443609022556391,0.29292929292929293,0.17599886078726162,0.5864661654135338,0.6542989875832982,0.41353383458646614,0.3457010124167017,1.0,1.0,0.29292929292929293,0.29292929292929293,1.0,0.29292929292929293,0.17599886078726162,1.0,1.1985438596491227,1.3191637593984957,0.09143663846888317,0.09143663846888317,0.0
cheapest_single,korbench,240,0.31666666666666665,0.5333333333333333,0.59375,0.5002381670612149,0.24166666666666667,0.28983675712801704,0.7583333333333333,0.7101632428719828,1.0,1.0,0.59375,0.59375,1.0,0.59375,0.5002381670612149,1.0,3.1916790740740737,3.6740237407407403,0.1312851251661804,0.1312851251661804,0.0
cheapest_single,livecodebench,211,0.03317535545023697,0.6729857819905213,0.04929577464788733,-0.03493465027246668,0.6492890995260664,0.7011247615580324,0.35071090047393366,0.29887523844196756,1.0,1.0,0.04929577464788733,0.04929577464788733,1.0,0.04929577464788733,-0.03493465027246668,1.0,2.3715310163243815,2.6957561769352294,0.120272435387482,0.120272435387482,0.0
cheapest_single,livemathbench,20,0.4,0.75,0.5333333333333333,0.2933506564133522,0.35,0.5334873111515283,0.65,0.46651268884847175,1.0,1.0,0.5333333333333333,0.5333333333333333,1.0,1.0,1.0,0.0,0.8950166666666668,0.963603333333333,0.07117728249175792,0.07117728249175792,0.0
cheapest_single,math500,96,0.8020833333333334,0.9375,0.8555555555555556,0.7887064316471356,0.14583333333333334,0.214774781661657,0.8541666666666666,0.785225218338343,1.0,1.0,0.8555555555555556,0.8555555555555556,1.0,1.0,1.0,0.0,0.9014616898148149,0.9711532175925924,0.07176161960368832,0.07176161960368832,0.0
