split,model,is_fallback,mean_quality,mean_resource,relative_resource_vs_fallback,safe_rate,candidate_better_rate,candidate_equal_rate,candidate_worse_rate,both_zero_rate,faster_than_fallback_rate,oracle_selection_rate
train,Fin-R1,False,0.5373859462021566,1.7145352266592937,0.8892892393389811,0.7653750444365446,0.06505510131532172,0.7003199431212229,0.2346249555634554,0.22798909823438795,1.0,0.7653750444365446
train,Qwen3-8B,True,0.7069558004502903,1.927983777172124,1.0,1.0,0.0,1.0,0.0,0.29304419954970967,0.0,0.2346249555634554
validation,Fin-R1,False,0.5525375268048606,1.700920756889842,0.88935823445981,0.7655468191565404,0.06325947105075054,0.7022873481057899,0.23445318084345962,0.21300929235167976,1.0,0.7655468191565404
validation,Qwen3-8B,True,0.7237312365975697,1.9125260114367404,1.0,1.0,0.0,1.0,0.0,0.2762687634024303,0.0,0.23445318084345962
test,Fin-R1,False,0.5356633380884451,1.6946620660960532,0.8893942922069362,0.7681883024251069,0.061697574893009983,0.706490727532097,0.231811697574893,0.23252496433666192,1.0,0.7681883024251069
test,Qwen3-8B,True,0.7057774607703281,1.905411447931526,1.0,1.0,0.0,1.0,0.0,0.2942225392296719,0.0,0.231811697574893
