threshold,quality,fallback_quality,quality_retention,quality_retention_lcb,quality_loss_rate,quality_loss_rate_ucl,routed_safety_precision,routed_safety_precision_lcb,safe_opportunity_recall,routed_fraction,macro_dataset_quality_retention,macro_dataset_quality_retention_lcb,macro_dataset_count,guarded_dataset_quality_retention,guarded_dataset_quality_retention_lcb,guarded_dataset_count,mean_resource,fallback_resource,resource_savings,conservative_resource_savings,fallback_usage,passes_quality_gate,passes_nominal_savings_gate,passes_conservative_savings_gate,passes_macro_gate,passes_harm_gate,passes_precision_gate,passes_guarded_dataset_gate,gate_pass_count,passes_base_gates,feasible_block_size,passes_stability_gate,is_feasible,setup
0.5,0.6275911365260901,0.7237312365975697,0.8671604938271606,0.847441330480035,0.1579699785561115,0.16964080369868922,0.820980153908465,0.8079402462227812,0.9463118580765639,0.8824160114367405,0.7898337917194774,0.6835421324671734,18.0,0.7461538461538463,0.5864117323659044,13.0,1.733575846239377,1.9125260114367404,0.09356744124119454,0.08520154195181406,0.11758398856325947,False,True,True,False,False,False,False,2,False,0,False,False,hybrid_r4
0.6,0.6411722659042173,0.7237312365975697,0.8859259259259259,0.8668050908985506,0.14367405289492494,0.1549256060142306,0.83109243697479,0.8180856001647803,0.9234360410831,0.8506075768406004,0.8153223671915839,0.7169471955373967,18.0,0.7461538461538463,0.6017564979027263,13.0,1.74488089508379,1.9125260114367404,0.0876563849853268,0.07929048569594643,0.14939242315939957,False,True,True,False,False,False,False,2,False,0,False,False,hybrid_r4
0.7,0.6593995711222301,0.7237312365975697,0.9111111111111111,0.8930100257021801,0.12294496068620443,0.13352186059591525,0.8435652569349704,0.8304018173448187,0.8660130718954249,0.7859185132237312,0.8730308870476663,0.804562679658066,18.0,0.776923076923077,0.6017564979027263,13.0,1.7643837550631403,1.9125260114367404,0.07745894983269364,0.06909305054331327,0.21408148677626876,False,True,True,False,False,False,False,2,False,0,False,False,hybrid_r4
0.75,0.6690493209435311,0.7237312365975697,0.9244444444444445,0.907507247671851,0.10650464617583988,0.1164802138993535,0.8537782139352306,0.8404354578902438,0.8123249299719888,0.7283774124374554,0.9200515982006472,0.8773289876488853,18.0,0.7980769230769231,0.5898546626556507,13.0,1.779026742117385,1.9125260114367404,0.0698025901457241,0.061436690856343845,0.27162258756254465,False,True,True,False,False,False,False,2,False,0,False,False,hybrid_r4
0.8,0.6922802001429592,0.7237312365975697,0.9565432098765432,0.9422568270807302,0.07147962830593281,0.07991147664539669,0.8689384010484927,0.8540734044412545,0.6190476190476191,0.5453895639742673,0.9621993407033612,0.9337669878881204,18.0,0.8769230769230769,0.7790995582932887,13.0,1.8140614065602414,1.9125260114367404,0.05148406049783849,0.04311816120845824,0.45461043602573264,False,True,True,False,False,False,False,2,False,0,False,False,hybrid_r4
0.85,0.7062187276626162,0.7237312365975697,0.9758024691358025,0.9647183315667717,0.04217298070050036,0.048877639964426976,0.8804457953394124,0.8624107159686825,0.4056956115779645,0.3527519656897784,0.9802436167590263,0.9622831014604216,18.0,0.9017341040462428,0.8068489455554849,13.0,1.8436536510205699,1.9125260114367404,0.036011201941474114,0.02764530265209375,0.6472480343102216,False,True,True,False,False,False,False,2,False,0,False,False,hybrid_r4
0.855,0.7087205146533238,0.7237312365975697,0.9792592592592593,0.9685621541866251,0.03859899928520372,0.04504862959679405,0.8858350951374208,0.8677165471990826,0.3912231559290383,0.3380986418870622,0.9838870835889083,0.9669015102465952,18.0,0.9075144508670521,0.8137152044054297,13.0,1.8459426884282422,1.9125260114367404,0.03481433591508598,0.026448436625705618,0.6619013581129378,False,True,True,False,False,False,False,2,False,0,False,False,hybrid_r4
0.86,0.7105075053609721,0.7237312365975697,0.9817283950617284,0.971371707828852,0.035739814152966405,0.04197558378986063,0.8893805309734514,0.8710454970668489,0.3753501400560224,0.32308791994281627,0.9854079982350866,0.9693593616832082,18.0,0.9075144508670521,0.8137152044054297,13.0,1.8476556310062742,1.9125260114367404,0.03391869184656682,0.025552792557186454,0.6769120800571837,False,True,True,False,False,False,False,2,False,0,False,False,hybrid_r4
0.865,0.7119370979270908,0.7237312365975697,0.9837037037037037,0.9738667002659503,0.032165832737669764,0.03812028553916513,0.8943661971830986,0.8757795338402118,0.3557422969187675,0.3045032165832738,0.9858963128399254,0.9717222194626693,18.0,0.9075144508670521,0.8137152044054297,13.0,1.8497246612659834,1.9125260114367404,0.03283686067285374,0.024470961383473377,0.6954967834167263,False,True,True,False,False,False,False,2,False,0,False,False,hybrid_r4
0.87,0.7140814867762688,0.7237312365975697,0.9866666666666668,0.9771665973035802,0.029306647605432452,0.03502327945541317,0.8993865030674847,0.8807113204460565,0.34220354808590103,0.2912794853466762,0.9907292428114578,0.9767615673422836,18.0,0.9075144508670521,0.8137152044054297,13.0,1.8512354046541177,1.9125260114367404,0.03204694023302701,0.023681040943646536,0.7087205146533238,False,True,True,False,False,False,False,2,False,0,False,False,hybrid_r4
