,objective,selected_model,quality,fallback_quality,quality_retention,quality_retention_lcb,quality_loss_rate,quality_loss_rate_ucl,routed_safety_precision,routed_safety_precision_lcb,safe_opportunity_recall,routed_fraction,macro_dataset_quality_retention,macro_dataset_quality_retention_lcb,macro_dataset_count,guarded_dataset_quality_retention,guarded_dataset_quality_retention_lcb,guarded_dataset_count,mean_resource,fallback_resource,resource_savings,conservative_resource_savings,fallback_usage,oracle_savings_capture
best_single,latency,Qwen3-8B,0.7057774607703281,0.7057774607703281,1.0,1.0,0.0,0.0009639569994812534,1.0,1.0,0.0,0.0,1.0,1.0,18.0,1.0,1.0,12.0,1.905411447931526,1.905411447931526,0.0,0.0,1.0,0.0
cheapest_single,latency,Fin-R1,0.5356633380884451,0.7057774607703281,0.7589691763516928,0.7363269776487309,0.231811697574893,0.24517455127382268,0.7681883024251069,0.7548254487261772,1.0,1.0,0.7311045329324701,0.6069804937634691,18.0,0.04929577464788733,-0.08580532343949757,12.0,1.6946620660960532,1.905411447931526,0.11060570779306378,0.11060570779306378,0.0,1.3299686026195687
dataset_lookup,latency,dynamic,0.7186162624821684,0.7057774607703281,1.018191005558363,1.0107771227969813,0.007845934379457917,0.01110043487237254,0.9067796610169492,0.870874671443543,0.09935004642525534,0.08416547788873038,1.0231051484921454,0.9944017981535788,18.0,1.0,1.0,12.0,1.8982426985259149,1.905411447931526,0.0037623104518414996,0.0037623104518414996,0.9158345221112696,0.04523957103206955
outcome_oracle,latency,dynamic,0.7674750356633381,0.7057774607703281,1.0874178878221323,1.076826487354168,0.0,0.0009639569994812534,1.0,0.9987455202392802,1.0,0.7681883024251069,1.100465035648952,1.0538950867993295,18.0,1.0,0.9878720764645501,12.0,1.7469495252813438,1.905411447931526,0.08316414957105722,0.08316414957105722,0.231811697574893,1.0
modernbert_hybrid_router,latency,dynamic,0.7057774607703281,0.7057774607703281,1.0,1.0,0.0,0.0009639569994812534,1.0,1.0,0.0,0.0,1.0,1.0,18.0,1.0,1.0,12.0,1.905411447931526,1.905411447931526,0.0,-0.01049642061388445,1.0,0.0
