epoch,train_total_loss,train_safety_loss,train_oracle_auxiliary_loss,validation_total_loss,validation_safety_loss,validation_oracle_auxiliary_loss,skipped_optimizer_steps,epoch_seconds,train_examples_per_second,encoder_learning_rate,head_learning_rate
1,0.22697930383733672,0.22697930383733672,2.330406349718819,0.2553531646264236,0.2553531646264236,2.0907699043036216,1,1475.5759400000002,3.8689568489027684,9.398812493826408e-05,0.00018797624987652815
2,0.21224650795506875,0.21224650795506875,2.398840197840558,0.257481958646015,0.257481958646015,2.1092082458009354,2,1489.1585177040001,3.8251156613835637,7.013430642830298e-05,0.00014026861285660596
3,0.2094294492352959,0.2094294492352959,2.4138564853718845,0.23860522269551818,0.23860522269551818,2.1569098948017427,2,1483.7525893349998,3.8319538897837386,3.777690163773796e-05,7.555380327547592e-05
4,0.20576560404752076,0.20576560404752076,2.456095183578277,0.25665772631159883,0.25665772631159883,2.1475068427688644,3,1489.3237561410006,3.813345819108717,1.0590030928141159e-05,2.1180061856282317e-05
5,0.20531628948272937,0.20531628948272937,2.443565456895246,0.25669407171528175,0.25669407171528175,2.1584072653546884,3,1528.5593707750004,3.821899699001212,5.6577015072889484e-11,1.1315403014577897e-10
