threshold,quality,fallback_quality,quality_retention,quality_retention_lcb,quality_loss_rate,quality_loss_rate_ucl,routed_safety_precision,routed_safety_precision_lcb,safe_opportunity_recall,routed_fraction,macro_dataset_quality_retention,macro_dataset_quality_retention_lcb,macro_dataset_count,guarded_dataset_quality_retention,guarded_dataset_quality_retention_lcb,guarded_dataset_count,mean_resource,fallback_resource,resource_savings,conservative_resource_savings,fallback_usage
0.5,0.6080599144079886,0.7047075606276747,0.8628542510121457,0.8425149853994114,0.1594151212553495,0.17111356215094609,0.8172526573998364,0.8040515023064954,0.9407058823529412,0.8723252496433667,0.8518897264754837,0.7712849037076189,18.0,0.6805555555555556,0.548782720051503,12.0,1.7701064812173086,1.9527850990648277,0.09354773238233038,0.0853543064863308,0.1276747503566334
0.6,0.6315977175463623,0.7047075606276747,0.896255060728745,0.8769795797418135,0.13480741797432239,0.14576861613275158,0.8361508452535761,0.8230828117253285,0.9077647058823529,0.822753209700428,0.904349399970821,0.843928413776005,18.0,0.75,0.6184661494978688,12.0,1.78317813361864,1.9527850990648277,0.0868538814267944,0.07866045553079493,0.17724679029957205
0.7,0.651925820256776,0.7047075606276747,0.9251012145748988,0.9071249911057704,0.11091298145506419,0.12104497637778727,0.8526764566556134,0.8395365898369775,0.8470588235294118,0.7528530670470756,0.951680305438233,0.9051985022288144,18.0,0.8138297872340425,0.6184661494978688,12.0,1.79871403788239,1.9527850990648277,0.07889811390727064,0.07070468801127106,0.2471469329529244
0.75,0.6633380884450785,0.7047075606276747,0.9412955465587045,0.9244127289767965,0.09486447931526391,0.104361212966198,0.86022070415134,0.8466338006212012,0.7703529411764706,0.6786733238231099,0.9687336881713142,0.9260273300306343,18.0,0.8333333333333333,0.6184661494978688,12.0,1.8165578942780154,1.9527850990648277,0.06976046921499468,0.061567043318995096,0.32132667617689015
0.8,0.6733238231098431,0.7047075606276747,0.9554655870445344,0.9395107741416604,0.08166904422253923,0.09058456065521042,0.8620481927710844,0.8475358989460089,0.6734117647058824,0.5920114122681883,0.9818911944536786,0.9423370200176546,18.0,0.8472222222222223,0.5998155916137624,12.0,1.8313420019020445,1.9527850990648277,0.06218968857399676,0.053996262677997175,0.4079885877318117
0.85,0.6854493580599144,0.7047075606276747,0.9726720647773279,0.959171166503579,0.056704707560627676,0.06432535330217189,0.8684863523573201,0.8516727425817954,0.49411764705882355,0.431169757489301,0.9910355133768279,0.956967658761928,18.0,0.8645161290322579,0.7144820476427836,12.0,1.8626600515137104,1.9527850990648277,0.04615205615522022,0.03795863025922075,0.568830242510699
0.855,0.6897289586305279,0.7047075606276747,0.9787449392712552,0.9658101241389364,0.05064194008559201,0.057896546926401615,0.8751099384344767,0.8580874436573461,0.4682352941176471,0.40549215406562056,0.9957694873142603,0.9621056676251518,18.0,0.8774193548387096,0.7330273387785943,12.0,1.867081663496592,1.9527850990648277,0.043887796772557386,0.03569437087655791,0.5945078459343794
0.86,0.6907988587731811,0.7047075606276747,0.9802631578947368,0.9677343086161667,0.04743223965763196,0.05448243771637105,0.8751173708920188,0.8574984665425941,0.43858823529411767,0.3798145506419401,0.9948712043326159,0.961808902332594,18.0,0.888888888888889,0.7518323430656079,12.0,1.8720286154699632,1.9527850990648277,0.04135451649725208,0.033161090601252274,0.6201854493580599
0.865,0.6932952924393724,0.7047075606276747,0.9838056680161945,0.9720421856746027,0.04136947218259629,0.04801028963644564,0.8800413650465356,0.8617860341257212,0.40047058823529413,0.3448644793152639,0.9944814261944975,0.9623448332659881,18.0,0.8958333333333334,0.7754029913298853,12.0,1.8789729378665396,1.9527850990648277,0.03779840456260963,0.02960497866661005,0.6551355206847361
0.87,0.6975748930099858,0.7047075606276747,0.9898785425101215,0.9788378063826867,0.03495007132667618,0.041117961496324434,0.8898876404494382,0.8714326188262844,0.37270588235294116,0.3174037089871612,0.9994593011673975,0.969925087911798,18.0,0.9236111111111112,0.8279194531054808,12.0,1.8844748644793152,1.9527850990648277,0.03498092781342177,0.026787501917422185,0.6825962910128388
